id,name,address
ChIJkeFl6w5u5kcRHj_W9bUZF6w,Habile.,"16 rue de Lancry, Paris, 75010, France"
ChIJBWqlSgBv5kcRGYBEZG-nj7Y,Hakuba,"Cheval Blanc Paris, 8 quai du Louvre, Paris, 75001, France"
ChIJNVH4kgZv5kcRsh2C0-W-z9M,Halo Paris,"12 rue Saint-Sauveur, Paris, 75002, France"
ChIJQYII-cBv5kcRK4u21uvRoFE,Helen,"3 rue Berryer, Paris, 75008, France"
ChIJWUwHsmtx5kcRn4QEuvfNdC8,Hestia,"8 rue de la Huchette, Paris, 75005, France"
ChIJaQacl-pv5kcRZEBerrFI3lM,Il Carpaccio,"Le Royal Monceau, 37 avenue Hoche, Paris, 75008, France"
ChIJu6BLB3Rv5kcRQZXWDDGiYOU,Il Ristorante - Niko Romito,"Hôtel Bulgari, 30 avenue George-V, Paris, 75008, France"
ChIJCZsCXE1x5kcRr6bxYSeeIck,Ilô,"6 rue Castex, Paris, 75004, France"
ChIJtcwJ8sRv5kcRK1e1LOEyoHg,Imperial Treasure,"44 rue de Bassano, Paris, 75008, France"
ChIJH7bObodx5kcRZvKndkGRXQo,Impérial Choisy,"32 avenue de Choisy, Paris, 75013, France"
ChIJ12IFfgBv5kcRrXCid5q23Nk,Irwin,"22 rue Cambacérès, Paris, 75008, France"
ChIJNQsxDrxv5kcRk9Lx6KN1giU,Jacques Faussat,"54 rue Cardinet, Paris, 75017, France"
ChIJ--BdhnVv5kcRSWKURvS_zc4,Jean Imbert au Plaza Athénée,"25 avenue Montaigne, Paris, 75008, France"
ChIJSxJyyC9u5kcROOLgDin8wz0,Jin,"6 rue de la Sourdière, Paris, 75001, France"
ChIJVVXJSBhw5kcRb3b2z-3_wtE,Jium,"26 rue Tiphaine, Paris, 75015, France"
ChIJSRmutQ5y5kcRIPnSJ8cG0l4,Jouvence,"172 bis rue du Faubourg-Saint-Antoine, Paris, 75012, France"
ChIJkbtzDJFv5kcRlR174bpYum4,Jupi,"25 rue des Dames, Paris, 75017, France"
ChIJ2fBeqR-lgIARHZ5qX7ETeGA,Kalank,"52 boulevard de Charonne, Paris, 75020, France"
ChIJqTnaAiNu5kcRQsRFgf8qeoA,Kei,"5 rue Coq-Héron, Paris, 75001, France"
ChIJUSRz-f5v5kcRrtKcvEnP1iM,Ken Yamamoto,"144 rue de la Pompe, Paris, 75116, France"
ChIJY8JjR7Rx5kcRt-zai-5W7Y0,Kigawa,"186 rue du Château, Paris, 75014, France"
ChIJ--uVl8Vv5kcRWL-x09zJ_6k,Kisin,"7-9 rue de Ponthieu, Paris, 75008, France"
ChIJLVEL7eRx5kcRWZr62yRPktY,Kitchen Ter(re),"26 boulevard Saint-Germain, Paris, 75005, France"
ChIJ4wvlzthx5kcRBTEbOLD_POc,Kodawari Ramen - Yokochō,"29 rue Mazarine, Paris, 75006, France"
ChIJAQBkPP5t5kcR8n6K5JRx5Us,Korus,"73 rue Amelot, Paris, 75011, France"
ChIJ58nVS2Bv5kcRvO8K9yE_nGk,L'Abysse au Pavillon Ledoyen,"8 avenue Dutuit, Paris, 75008, France"
ChIJGZhFK21w5kcRd7IPRjt7aYA,L'Accolade,"208 rue de la Croix-Nivert, Paris, 75015, France"
ChIJvWmj4TZv5kcRjWXoyQlKnUw,L'Altro Frenchie,"9 rue du Nil, Paris, 75002, France"
ChIJK-TZ1v9x5kcRvQoSvNJ21Vo,L'Ambroisie,"9 place des Vosges, Paris, 75004, France"
ChIJjVT2MNlv5kcR4QtneAsLSdU,L'Ami Jean,"27 rue Malar, Paris, 75007, France"
ChIJLXq2ATBw5kcRoqrUsJbvP8w,L'Antre Amis,"9 rue Bouchut, Paris, 75015, France"
ChIJgb8VSRhu5kcRMsJSbUvCGTI,L'Apibo,"31 rue Tiquetonne, Paris, 75002, France"
ChIJKQ4LW_9v5kcRCw8nEuxkyOw,L'Archeste,"79 rue de la Tour, Paris, 75016, France"
ChIJH0K4jC1u5kcRCenOd61qxwo,L'Ardoise,"28 rue du Mont-Thabor, Paris, 75001, France"
ChIJr35dgspv5kcR5gpfvpvZbZQ,L'Arpaon,"57 rue Montcalm, Paris, 75018, France"
ChIJZazvjMZv5kcREZMvWJYA6q8,L'Arôme,"3 rue Saint-Philippe-du-Roule, Paris, 75008, France"
ChIJy-aaRjJu5kcRCWfYat89_1Q,L'Assaggio,"Castille Paris, 37 rue Cambon, Paris, 75001, France"
ChIJkc5OT7Rx5kcRJx30EIJaxvM,L'Assiette,"181 rue du Château, Paris, 75014, France"
ChIJU1Oe_ylu5kcRHk3j-D0X9ew,L'Atelier de Joël Robuchon - St-Germain,"5 rue de Montalembert, Paris, 75007, France"
ChIJwSZX3Otv5kcRe1gL5hAzplM,L'Atelier de Joël Robuchon - Étoile,"133 avenue des Champs-Élysées, Paris, 75008, France"
ChIJs2xZ0Fpv5kcRHFmdrff1A4U,L'Attilio,"184 rue du Faubourg-Saint-Honoré, Paris, 75008, France"
ChIJn3M3XEZ75kcRYHGlnkvVNFk,L'Auberge des Crus,"13 rue Bosio, Paris, 75016, France"
ChIJ4dWZlCVw5kcRMu9H3OTFKRY,L'Escudella,"41 avenue de Ségur, Paris, 75007, France"
ChIJYb1UEl3sC0ERs8OjBWWVRhg,L'Esquisse,"151 bis rue Marcadet, Paris, 75018, France"
ChIJDzdubodx5kcRsW4IdxJzRA0,L'Hommage,"36 avenue de Choisy, Paris, 75013, France"
ChIJO2QhWSxw5kcRFC7r1nNl2II,L'Inconnu,"4 rue Pierre-Leroux, Paris, 75007, France"
ChIJ9XHSCORx5kcRSAWp9Pmr8PA,L'Initial,"9 rue de Bièvre, Paris, 75005, France"
ChIJZXST6-5v5kcR2yYcipYCUqA,L'Oiseau Blanc,"19 avenue Kléber, Paris, 75116, France"
ChIJZ8yNJuhv5kcRAcHrclt49NM,L'Orangerie,"Four Seasons George V, 31 avenue George-V, Paris, 75008, France"
ChIJBz2epQxw5kcR3mq65dpD9OM,L'Os à Moelle,"3 rue Vasco-de-Gama, Paris, 75015, France"
ChIJw8NU1IRv5kcRrPZgVHysYaw,L'Ouzeri,"41 rue du Ruisseau, Paris, 75018, France"
ChIJ1aOFBy5v5kcRyL4MhReJgMQ,L'Écrin,"Hôtel de Crillon, 10 place de la Concorde, Paris, 75008, France"
ChIJgWoRNjRv5kcR2422TYAEnyE,L'Évadé,"23 rue Clauzel, Paris, 75009, France"
ChIJs6l6heZx5kcRjKfIhap2Iro,LAVA,"9 rue de la Montagne-Sainte-Geneviève, Paris, 75005, France"
ChIJk1bIy0Fu5kcR2hnJCvRJpm0,LAZU,"47 rue Marguerite-de-Rochechouart, Paris, 75009, France"
ChIJ6cO_x95x5kcRaUWGHYQ5WoE,La Borie,"9 rue de Pondichéry, Paris, 75015, France"
ChIJ2-nvXTtu5kcRzvMrLHhpJOI,La Bourse et la Vie,"12 rue Vivienne, Paris, 75002, France"
ChIJn3uDk_9v5kcRNGe7-f8GHIE,La Causerie,"31 rue Vital, Paris, 75016, France"
ChIJz2yx5EBu5kcRTqLAalRfNFU,La Condesa,"13 rue Rodier, Paris, 75009, France"
ChIJaWy42CNu5kcRSLqIejQtI7s,La Dame de Pic,"20 rue du Louvre, Paris, 75001, France"
ChIJzxEaCwBt5kcR4wbMpgyplpI,La Datcha,"62 rue Jean-Pierre-Timbaud, Paris, 75011, France"
ChIJXZ9lqzZl5kcRxIInGxIRFaI,La Ferme du Pré,"Route de Suresnes - Bois de Boulogne, Paris, 75016, France"
ChIJBU9a9RVl5kcRauGO7npEArM,La Grande Cascade,"Allée de Longchamp, Bois de Boulogne, Paris, 75016, France"
ChIJf1MZZbRx5kcR4fgfvndDZ7Q,La Grande Ourse,"9 rue Georges-Saché, Paris, 75014, France"
